SessionID,User,Acknowledged,SessionLength,LoginFrequency
201,Alice,1,45,3
202,Charlie,1,22,3
203,Bob,0,38,4
204,Alice,1,39,8
205,Alice,0,51,6
206,Alice,1,26,8
207,Charlie,1,52,1
208,Bob,0,59,8
209,Alice,1,58,4
210,Alice,1,37,1
211,Alice,1,59,8
212,Charlie,1,20,4
213,Charlie,1,30,6
214,Bob,1,47,8
215,Charlie,1,44,4
216,Alice,0,42,3
217,Bob,1,50,9
218,Alice,0,49,3
219,Alice,1,54,9
220,Charlie,1,26,2
221,Bob,1,35,2
222,Charlie,1,45,2
223,Charlie,1,21,6
224,Bob,1,20,3
225,Alice,0,31,9
226,Alice,1,24,4
227,Bob,1,56,1
228,Alice,1,51,4
229,Bob,1,28,1
230,Bob,0,54,5
